premise,hypothesis,label
A jet plane is on display outside of the cathedral.,The jet plane is an old relic of the cold war.,1
"The happy, newlywed couple takes a moment to laugh and celebrate before cutting their wedding cake.",a baseball player throws the ball,2
A woman in a red shirt and a brown skirt is watching a group of children in a pool.,A woman and some children are at a beach.,2
A man wearing white boxers is bathing outside using an orange bucket.,HE is playing basketball.,2
People waiting to enter a white building through an entry way with an orange handwritten sign to the left of it.,People are waiting in an orderly line,1
Two people wearing red motorcycle helmets are riding together on one red motorbike along a street past posters about Communism.,Two people on red motorbike crash into the wall.,2
Two boys in swimsuits standing under running water.,Two boys are running through a sprinkler.,1
"The young lady, in the black and blue shirt, is blow drying and brushing her hair, while another woman watches.",A person is doing their hair.,0
Three women in jackets are crossing the street.,Three women are wearing cloths.,0
A man in a blue shirt hold his hand up while talking to two ladies in blue shirts.,Policeman gives instruction to women.,1
a young boy making a big mess on the floor and table while eating cereal,Someone's elderly mother is taking care to avoid spilling her meal on her caretaker.,2
A man in a purple outfit milking reindeer with a forest in the background.,The man is tending to the reindeer.,0
"A child in a coat and hat is standing in a yellow doorway, and a woman in a coat and hat is standing outside, holding a cup.",A woman is enjoying coffee while standing outside.,1
A black dog runs on the beach.,The black dog is running on the beach to fetch a stick.,1
Two men sitting on the steps and one man sleeping behind them.,Men are outdoors.,0
A person is walking over a very large sand dune.,a person walking on a sand dune,0
A person is taking a shower in a dark room.,A couple is sitting in a jacuzzi.,2
A boy performs a stunt on rollerblades in front of small children on scooters.,The boy is stunting on rollerblades and the kids are on scooters.,0
A doctor with his assistants are working under a tent.,A doctor and his assistants are working inside a hazerdous tent in Africa to solve the Ebola epidemic.,1
A dark-skinned man in playing a trumpet in a marching band.,A band is marching inside a pool.,2
An adult and a child on bleachers near the water.,the people are near the water.,0
An African American in a red top and white and brown skirt crosses a street while a man in a blue shirt runs on it.,The people are drinking slurpees.,2
People going up an escalator.,They are in a hurry to catch the train,1
A child wearing a pirates costume holds up a skull and crossbones sign.,The child is wearing a costume because it's Halloween.,1
Poor student folk artists panhandle for bus money.,Poor student is panhandling,0
A dog with its ears up runs on brown grass.,A dog with its ears down is sleeping on the couch.,2
A skateboarder in the air while flipping his board,A skateboarder is performing tricks for a crowd.,1
Three women out for the evening in a big city.,Three women staying in for the night.,2
"Two tan dogs, one larger than the other, interact in a grassy yard enclosed by a wooded fence.",Two dogs are in their owner's backyard.,1
"Several people sit on a crowded subway, while two woman stand in the middle holding the poles.",Some people watch tv in a bar.,2
A man dressed in a blue top and white shorts is using a video camera at a baseball diamond.,A television cameraman wearing a blue shirt and white shorts filming the first baseball game of the season.,1
"A little boy is standing next to a life jacket, looking up at something.",The boy is looking upwards.,0
A woman walking with bags.,The woman is driving her car.,2
"A snowboarder, who is wearing a red jacket, black pants, and a blue helmet, is midair.",A snowboarder is competing in an event.,1
A redhead woman wearing a black shirt bites into her food.,The woman wearing a black shirt is redheaded.,0
Young cheerleaders exhibit their flexibility.,Cheerleaders get into a pyramid formation.,1
A man is sitting against a building using tools.,There is a man standing and doing nothing outdoors.,2
"A man in a blue shirt, cowboy hat and a cross neckless walking in front of a carnival or amusement park ride.",Lights surround a cowboy while walking through a carnival.,1
Two homeless people under an umbrella.,It has been raining all day.,1
Two girls are dressed the same and one of them is playing with a toy lawn mower.,Two girls are together as one plays.,0
a man walks across the tightrope.,A man focuses on moving across a tightrope.,0
A man holds a section of a beehive while a cigarette hangs between his lips.,The man is trying to get honey.,1
Man with white covering on is face spraying water on a mound of sand with a heart drawn that says open up.,Some man taking a nap inside his house.,2
Male and female holding each other in the water with their swimwear.,A couple in swimsuits is hugging in the water.,0
Two young girls are running through shallow water at a pool.,Two girls run through a pool.,0
A woman in a pink shirt looks at the water.,A topless woman is playing billiards.,2
A young boy and a young girl are sitting on hardwood floors playing Pokemon.,Kids won't play soccer.,2
A man attempts to ski on the one last patch of snow left on the hill.,The man is sitting in his hotel room.,2
A baseball player takes a swing at a pitch.,A baseball player's bat is thrown behind him as he takes a hit.,2
A woman in a black shirt gives a presentation while projecting slides onto a screen.,A lady is at a medical conference.,1
A man in a black hat and jacket is riding his bicycle.,Man rides on bus home.,2
The light could become a flying object in a wind storm.,The light will become airborne during a wind storm.,1
A young black girl is drawing a picture of a leaf with crayons.,A white girl draws a picture of a tree with colored pencils.,2
A black puppy stands over a white puppy.,The cats love each other.,2
a man with a guitar in a band singing into a microphone.,There is a man holding a violin while speaking into a microphone.,2
Two girls lean backwards on tire swings and look upside-down at the camera.,The childs are on the tire wrong and the camera is up-side down.,1
Marathon runners passing by spectators with the runner in pink getting splashed by water.,The runner in orange gets splashed with water.,2
A woman working on a large machine which she appears to be using to make a blanket of some sort.,"A woman sits in front of a machine, sewing diligently.",1
Women wearing long shirts playing music.,The women wearing dresses are watching TV.,2
The man stands in a body of water near a waterfall.,The man is driving a car.,2
A man sits in front of his laptop.,A man does research.,1
Someone in cold weather clothing is leaning against a snowbank.,Someone is leaning against a snowbank to wait.,1
a man mountain climbing hanging under a rock,A man named Greg is mountain climbing.,1
Three people cleaning windows and a woman in a blue shirt talking to them.,Some people clean windows while a woman talks.,0
man in blue shirt on street.,The man in blue walks down the street outside.,1
A woman wearing a black dress crosses the street.,The man was wearing a black dress and crossed the street.,2
A field with some Scottish marching bands and many spectators sitting on the stadium behind.,The spectators are cold because the bleachers are made of aluminum.,1
Two women outside a white building enjoying alcoholic beverages.,Five guys are getting drunk.,2
A girl stands on two logs as she photographs the field.,The girl is inside.,2
A woman carrying an object on her head and in her hand going through town.,A woman is carrying something.,0
"A man dressed in a black vest, black hat, and sunglasses sits on a fancy bike on a city sidewalk.",A man is showing off his new car to his wife.,2
A little girl is climbing up some very tall rocks.,A little person is climbing up some very tall rocks.,0
Boys are sitting on pieces of track.,The boys are standing.,2
People attending a conference with a lecturer.,People are leaving a conference.,2
"A group of older Asian men look on, one blurry in the foreground.",the men are together,0
"Two little kids in strollers have face makeup on like the band ""Kiss"".",Two little kids aren't wearing makeup.,2
A group of travelers are riding through sandy hills on camels.,Humans riding,0
People sitting in a vehicle.,There are people hanging out on bench.,2
A crew with cameras and a woman in a black dress surround a gray van.,A crew and a woman in a black dress are at a party dancing.,2
Old hands are working on a task.,There are people working on a task for school,1
A little girl in a black jumper is climbing a chain link gate.,There is a girl wearing a black jumper.,0
A man wearing a baseball hat and jacket reads while sitting in an Italian restaurant.,A person is reading.,0
A man advertising on the street.,A man is advertising his wares on the street.,1
A little girl looking at a brochure on train rides,The brochure is in the girl's hands.,1
People stand in front of a black wooden contraption.,People stand 10 feet in front of a black wooden contraption,1
Two kids in coats posing with a snowman.,Two kids posing near a tree,2
"A fat woman wearing a blue tank top and a backpack, eating a chili cheese dog",The woman is underweight and does not like chili cheese dogs.,2
A young boy is looking and touching a bike,A person is close to a method of transportation.,0
"A man in an onyx helmet plays an electronic flute as men watch, standing by some bicycles outdoors.",a man is a helm is outside,0
"This Guy is looking at the view, down at the mountain.",they were married,1
A man shopping at a department store next to a lot of candy.,A man at the checkout counter,1
A shirtless man wearing a backwards hat and blue jeans balances on his front bike tire with the back one in the air.,A man is showing off on his bike in front of a clapping woman.,1
Several children are raising their hands while sitting on a colorful rug in a classroom.,Several children are asking to be called on in class.,0
A young boy carrying a basket collects Easter eggs in the grass.,the boy is in the grass,0
A small boy in a white shirt is jumping with a sword in his hand.,A boy with weapon,1
"A crowd looks on as two martial arts opponents fight, both suspended in midair.",People watching cats in a youtube video.,2
A man in a white hat and white shirt with a black shoulder bag walking down a busy walkway,A man is walking outside,0
A young girl in a green shirt and shorts playing in the playground with sandals.,A girl has fallen in the water.,2
A man and two women pose outside a retail store.,They are swimming at the pool.,2
Yorkshire terrier walking in the grass.,A cat is running outside.,2
A girl wearing a white shirt and blue jeans jumping off a rock into the sand.,a kid jumps off a rock into a sandy beach,1
Person wearing a hooded jacket sitting on snow in front of a yellow tent.,A person is outdoors.,0
A woman with dark hair in a ponytail is reading sheet music while playing an instrument.,The woman is taking a science test.,2
The surfer in the wetsuit is riding a wave.,The surfer in the red wetsuit is riding an enormous wave.,1
2 artists creating a new piece on a table,Two people are working on a surface.,0
A man standing next to a hotdog stand.,A man is doing construction work,2
"Man wearing a hat, preparing to taste some food he is cooking.",Bare-headed man preparing to cook.,2
A man walks his bike past a large silver sculpture of a head.,A man rides on his bike.,2
Two men looking at each other and playing pool.,Two men playing a game of checkers.,2
three dogs playing on a beach,There are three dogs,0
A man on a horse chasing an animal.,The man is trying to reign in cattle.,1
A black dog jumping from a dock into water.,The dog is jumping into the pond water.,1
A man puts a long object in his mouth while a woman holds a cake.,A man holds a knife in his mouth,1
Asians eating around a table in restaurant.,They are celebrating a birthday.,1
two brown and black dogs chasing a plastic bag through the grass.,The two dogs play together with a bag blowing in the wind.,1
A soldier in uniform rides a brown horse.,Someone is riding a horse.,0
A bride getting ready with her bridesmaids wearing red.,A woman is sitting at the bar drunk with friends.,2
a woman with a backpack and a aqua green shirt with her hand on her head and her hair pulled up looking over a few hills.,The woman is looking over the hills.,0
Three boys sit down and make gestures with their hands.,Three boys are playing tag outside.,2
A man appears to be playing some sort of instrument.,The man is taking his bar exam.,2
A construction worker on a grim day shoveling dirt.,The person in the picture works with their body.,0
"Middle-aged working man on the jungle floor, slicing away gigantic leaves from trees with a makeshift scythe.",A indivisual sleeping in the jungle.,2
"Three girls playing basketball, number 35 holding an orange, white, and black basketball.",The three girls are ten years old.,1
A black and tan dog and a black and white dog are playing ball in the grass.,The animals are sitting on the porch.,2
Two male basketball players are fighting over a basketball.,Two persons at some outdoor game.,1
A homeless man stand between two pedestrians on a street corner.,The man is about to ask the people for change.,1
A little girl in a white dress stands in front of a line of children.,The little girl is in front of other children.,0
A girl playing an electric guitar.,Nobody is playing guitar,2
The three dogs ran in the yard.,The three big dogs ran in the yard.,1
"Two women wearing jackets and jeans are walking through a park, apparently talking.",Two women walking and talking.,0
A man in a black and white jersey is holding yellow ski poles and preparing to take off.,The ski poles and jersey were recently purchased,1
A man in a dark suit is using a microphone.,A man speaks on a microphone.,0
Two women are sitting at a table talking.,People sitting and conversing.,0
People stand outside near a concrete wall and a window.,People are outside.,0
A brown and white dog walking in the snow near a fence.,A dog walks through the snow.,0
People walking around open air markets.,people walking around,1
Four boys are surrounding a person sitting in a chair and splashing their head with pink paint.,The boys are sitting down.,1
A street scene at a crowded foreign market.,People gather at a market.,0
Three men in uniform walk around town.,Three workers inspect the town.,1
A crowd of people filling the streets as during a festival.,People are walking around a festival.,0
A couple of woman carrying bricks on there head.,There might be three women,1
A man wearing glasses and a striped shirt is eating at a bar with a blond woman in a red tank top.,A man and woman are eating at a bar.,0
Three young children play tug-of-war.,The kids are playing jumprope.,2
A group of people listening to a speech or presentation near the front of the room.,The people in the back can't hear,1
A soccer player slays on the group and kicks a yellow ball as another player wearing a gray hat runs by.,There is a ball at play.,0
Men on a work site are looking at something to their right.,The men are wearing helmets.,1
Two men in the construction industry are surveying their work space.,The two men are preparing to build a wall.,1
A cyclist is talking to a young girl.,The cyclist is giving the young girl directions.,1
The person with the red bag is standing on rocks and looking out at sea.,The person with the green bag is standing on sand and looking out at sea.,2
Man wearing a hard hat and face mask while standing idle on the job.,The man with the face mask is taking a short break.,1
The dogs run in the snow pulling a sled with a person.,Dogs are sleeping by the fire.,2
"An older gentleman, dressed in jeans and a long-sleeved shirt, tosses a small red ball on the beach.",An old man throws a ball on the beach.,0
A woman hula hoops in a colorful costume.,A woman dances,0
A girl with a green scarf on her head sits on cement steps.,A women is waiting on her ride.,1
A young man is riding his bicycle.,A young man is driving a car.,2
The young boy with the blue shorts is stretching.,The boy is going for a run,1
A young female with brown hair holds an orange butterfly.,A person is holding an adult insect.,0
"A man is running on a bridge, while a dog is standing between two men on the bridge as well.",a man runs on the bridge with others around,0
A woman standing behind a podium is speaking to people.,A man behind a podium is speaking to people.,2
a man is sweeping the sidewalk with a push broom,the man is in church sitting,2
Three musicians perform on their guitars while singing.,The people are playing the drums.,2
A driver gets high in the air with his motorbike.,A driver is flying like an airplane on his bike.,2
"A cook prepares food at the counter in a store called ""Frank's Burgers"".",The cook is preparing food for customers.,1
Two men dressed in jeans and coats walking down the street with messenger bags.,the men are stealing art,2
"A woman stands in front of a man holding a small, smiling baby.",A woman stands in front of thirty women.,2
Two man are in the shadows of a tent while a black rug hangs in the foreground.,The men on a roller coaster.,2
There's cyclist in street.,In the street there are cyclists.,0
A mother in blue and child walk down a sidewalk next to a brick street.,the mother and kid were going on at trip,1
"A black man sits at a sewing machine on the sidewalk in front of a home, working on a project of some sort.",The man is down in a basement.,2
"A shop with two men outside, one man entering the shop, and motorcycles viewable on the right side of the frame.",the shop has two men inside,2
The mother and child have a personal moment in the yard.,A woman is kidnapping a child and putting it in the turnk.,2
During the election party not all the guest attending are happy.,All the guests were not present at the election party.,0
A woman emerging from a subway station talking on her cellphone.,A woman talking on her cellphone,0
Five men are in a subway making repairs.,Humans repairing,0
A child covered in foam is climbing on a black inflatable ramp.,A child climbs.,0
Two men in winter clothing exchange food under a wooden shelter.,Some men are giving food.,1
A group of people standing together for a picture,People who know each other huddle together to take a photo.,0
"Men, surrounded by nature, are riding mountain bikes.",A group of people are outdoors.,0
"People sitting in the grass outside a building, taking a break.",The people are outside on their lunch break.,1
A young child with brown curly hair and brown eyes sits in a foldaway chair on the sidewalk.,A young child sits outside.,0
A group of African children observing and clapping.,African children clap along to the beat of a song.,1
Eight Workmen are building a steel scaffold.,People are reading in a library.,2
"Two girls swing on with a boy, all three are wearing blue shirts of the same shade and blue jeans.",The three kids are all friends.,1
A man in an orange shirt is standing by a sidewalk.,A man in an orange shirt is sitting on a park bench.,2
Father and son taking a break and checking out the water.,A son and father see if there are any fish in the water.,1
A group of men gather around a lantern sitting atop some sort of chart.,Some men are running away from each other in a game of tag.,2
A group of adults and children treks through a field containing an old stone wall.,A large group passes an old stone wall on their way to a picnic area.,1
A beagle looking over his shoulder as he stand on a sandy slope.,A man runs down the sandy slope to the surprise of his dog.,1
A man dressed in blue standing in front of a colorful fruit and vegetable stand,The man shows off his organic produce.,1
A woman is walking across a street in front of two buses which are green and blue.,A woman is walking.,0
People getting ready for bikeathon.,people going to ride in bike race,1
A brown dog bites a purple mitten in the snow.,a dog bit a mitten,0
A singer is adjusting the microphone on his stage.,A lead singer is getting ready to singer.,1
A girl climbing on a climbing ledge.,A girl is climbing.,0
A woman at the beach carrying a bucket on her head.,A woman outdoors.,0
Man with brown shirt stirring something in a pot.,The man is green shirt is making something in a pot.,1
a older woman in a cowboy hat smoking a cigarette.,A woman in a white cowboy hat is smoking.,1
"A young person, wears red sandals, black pants and a blue shirt, his head and face covered with a checked scarf and carrying a rocket launcher.",Someone is planning to attack using a rocket launcher.,1
Several people are riding on back and sides of a car.,people riding on a car,0
A woman and her child are resting outside of a McDonald's restaurant while eating meanwhile a man in white is sitting inside the restaurant next to a large window.,the woman is his step mother,1
A group of woman on the beach jumping in the sand.,The women are outside on the beach.,0
Three young women are playing near a car during a snowfall.,women playing in the snow,0
Two people are taking pictures.,People are happily taking pictures,1
a little girl doing a back bend on a grassy field,The little girl was showing off to her parents outside.,1
A woman wearing a blue uniform stands and looks down.,A women is sleeping.,2
A man sits with his foot on a pole and smiles.,A man is running through the forest after seeing a bear.,2
A man sitting on a bicycle.,A man sitting.,0
A man with a striped shirt that has a white bag over his shoulder is standing at a station with speakers about a TV screen and controls under the TV screen.,The man is sitting.,2
"There is a man behind a white minivan, police car driving down the street as a white car pulls onto the street.","The police is watching a criminal load up their van, as a car veers out in front of them.",0
A woman in a white shirt plays a black guitar.,The woman is playing a song by Miley Cyrus for onlookers.,1
A man cutting branches of trees.,A man is cutting off branches.,0
"Two women, one in a fur coat, walk down the sidewalk with blue umbrellas.",Women walk with bikinis on a sunny day.,2
People working on flowers at a flower stand.,There are many different types of flowers.,1
Several construction workers standing on a scaffold,People are on a scaffold.,0
"Attractive woman, Roller derby team ""Roller Girls"" stares, while fixing her shirt and holding a bag.",The bag is small.,1
A young girl hiding behind a tree in a forest.,A girl is hiding behind a tree waiting for her brother to find her.,1
Three people sit together and consult a notebook while a man stands and watches over their shoulders.,Three people are women.,1
A race car driver with an orange helmet sits in a team Penske Indy car at the raceway.,The helmet is blue,2
A black and brown dog is biting on a stick in the forest.,there are animals in the forest.,0
Three girls wearing red and white walk with a parade.,The girls are wearing blue and yellow.,2
A little girl is standing outside on a blanket.,The girl is waiting for her parents.,1
A busy crosswalk somewhere in asia.,Outside.,0
"Man performing stunt, lady breaking block on his stomach with sludge hammer.",A man is hitting a woman with bat.,2
"A woman attired in a formal blue police or military uniform, holding a flagpole, is sitting astride a horse.",A woman is outside on a golf horse wearing a uniform.,1
A man jumps off some rocks into the water.,A man goes skin diving at the lake.,1
A woman wearing a pink hooded sweatshirt uses her laptop.,A woman wearing a pink hooded sweatshirt uses her laptop during her lunch break.,1
This man is bungee jumping.,This man is a thrill seeker.,1
A woman wearing a scarf is tailgating.,The woman is enjoying a football game,1
A football fan showing his devotion by painting his face.,A football fan wears colorful face paint to support the team.,0
A man in a bright green flux shirt walks along a crowded sidewalk under metal scaffolding at night.,The man is talking on his cell phone one the sidewalk,2
Five men in orange vests work on repairing a street at night.,Men working overnight,1
A young child clings to his or her mom while they sled.,A young child is near its mom.,0
"A woman with a ponytail in a leather jacket is standing outside of a store that says ""Since 1889.""",a woman stands outside,0
A brown dog is wanting food from a plate held by a person.,A dog is begging for food.,0
A man on a cellphone stands outside of a building with pictures of women in black shirts behind him.,The man might attempt to take an upskirt photo with his phone.,1
A man wearing a dark coat is standing outside an ice cream truck.,"A man wearing a dark coat is standing outside an ice cream truck, in the daytime.",1
a man photographs a woman.,The woman is taking a picture of a man.,2
An Indian woman poses for the camera in her bright clothing.,A woman poses for the camera.,0
"A woman wearing glasses is sitting down at a table with glasses, a bottle, and a bird on it.",The lady is looking at her trinkets.,1
A young girl wearing a pink and white dress with a crown of pink and yellow roses makes a funny face.,A young girl is all dressed up.,0
Children playing on an Ox in the water.,The adults are playing in the water.,2
A man in a hat sitting at one of several tables inside a screened tent watching people walk by outside.,A man in a hat stands on a table inside a screened tent.,2
Two ladies wearing medical mask working in a food factory.,Two woman wearing masks are working.,0
A family coming back from shopping and a gentlemen is reading his newspaper to the side of the street.,a pair of teenagers drives past a group of young ladies,2
A construction worker in jeans is standing on a scaffold holding on to a metal frame with a city backdrop.,A construction worker is wearing black jeans.,1
"A old man wearing red, white and bluish gray playing music on a stage using a cross-cut saw.",An old man is preforming music.,0
"a blond female, with a cigarette in her mouth and a beverage in her hand, is listening to music.",The woman is holding something.,0
"A young woman in a pink shirt is sitting on a porch, weaving with a loom.",A young woman in a pink shirt is sitting on a porch and drinking heavily.,2
A little boy in a stripe shirt is using a hand mixer in a blue bowl with the help of a woman.,a dog barks quietly,2
A black man is getting a haircut.,The man will have less hair than when he came in.,0
A little girl dressed in a white dress is preparing to lay the floral petals down for a wedding.,The flower girl at the wedding scatters some flower petals.,1
Two women are sharing an umbrella.,women with umbrella,1
"A man appears to be balancing on a bicycle on top of some sort of mechanism while ""swallowing"" a sword shaped balloon.",A man is performing at the circus.,1
These men are playing a dangerous game.,"Two men are running around with guns, probably playing paintball wars",1
Child jumping off a ledge into the snow with trees all around.,one girl eats,2
A woman wearing a green shirt and an apron is making food.,A woman is making food.,0
Five dancers perform on stage.,Performers on a stage.,0
Several people in traditional folk dress are dancing in the street.,People are dancing at a festival.,1
A barber is trimming the neckline of a man on the side of the street.,A barber is trimming a man's mustache on the side of the street.,1
A woman walking down the street carrying luggage with a baby on her back.,A young lady is sipping coffee at the bus stop.,2
"Two women walk down the street, one carrying a white umbrella.",Two women walk down the street to their car.,1
A fisherman untangles his fishing nets in his blue boat as it sits on the water.,A fisherman is at home after a long days work.,2
A little boy in red clothes takes a nap on a fold out kids couch.,A child is sleeping,0
A man wearing a Facebook lanyard is holding a microphone.,A man is holding a microphone,0
One of the members of KISS playing a white electric guitar in front of a black background.,A member of a band plays a solo.,0
A man in a yellow jacket stands in front of a yellow hutch.,The man is seated at the dining room table.,2
A boy is jumping a rail on his bicycle.,A boy is sleeping on his bike.,2
Two golden brown horses pull a sleigh driven by a woman in a blue coat.,The woman is in a hurry.,1
A woman with closed eyes is playing a cello and singing into a microphone.,A woman plays an instrument.,0
A young man rock climbing with a wall of waterfalls in the background.,young man trying to reach the top,1
"Young man, in a swimsuit, surfing on brown waters.",An adolescent in swim trunks surfs in brackish water,1
A man standing on one foot with a little girl in front of a cathedral.,The man and the girl are outside,0
A gentlemen is giving a presentation via powerpoint.,A man is giving a extempore speech,2
A plane lies in the background of a warehouse.,There is a tank in the back of a warehouse.,2
Two guys; one in white and the other in red are leaping to catch a Frisbee.,The men are juggling soccer balls.,2
"Two older men, one in a green shirt and one in a brown shirt, participating in some sort of conversation or debate.",They are being silent.,2
People perform a dance outside on a green mat.,People are dancing outdoors to rap music,1
An Asian man standing next to a door points to something.,A man is pointing at a sign on a door.,1
This is a baby about to lick the beaters from his mom's baking.,The mother and baby are taking a nap.,2
A blond girl holds a small plastic doll.,The girl is playing with matchbox cars.,2
Woman working on a PC in her bathrobe.,Woman in a bathrobe typing an email.,1
A guy with a mohawk cleaning the skating ramp.,A person with a different hairstyle cleans the ramp.,0
Brown dog crouching in grass looking up,The animal is on the ground.,0
Two men with guitars strapped to their back stand on the street corner with two other people behind them.,A woman throws a baseball to her brother.,2
Two women riding horses together.,The women are in a race at the Kentucky Derby.,1
A man wearing a blue shirt is talking to two men wearing orange and yellow work vest.,A man wearing a blue shirt having a conversation with two men wearing orange and yellow work vest.,0
Excavation work being done in a city.,The city has an archaeological site.,1
A man is standing on an elephant lying in some water.,A man is standing on an animal,0
A surfer in a black wetsuit carrying a surfboard into the waves.,The surfer is sitting by the beach.,2
A man wearing a baseball cap is drinking from a white cup.,the man is forty,1
Boy in yellow shirt getting picture taken surrounded by pigeons,A boy is near pigeons.,0
